,F,n_evals,n_gens
0,2.2485210156103257,1000.0,2.0
1,47.9328259703469,2000.0,3.0
2,25.11698291681283,3000.0,4.0
3,1.1174656282030853,4000.0,5.0
4,7.589592711521998,5000.0,6.0
5,21.316256727800646,6000.0,7.0
6,19.43114103642138,7000.0,8.0
7,17.455279097522645,8000.0,9.0
8,4.024138744124329,9000.0,10.0
9,10.29600146635061,10000.0,11.0
10,3.3984719676011323,11000.0,12.0
11,9.101530155244397,12000.0,13.0
12,8.158039886042449,13000.0,14.0
13,10.665831683401615,14000.0,15.0
14,12.9655609540738,15000.0,16.0
15,13.102634308328929,16000.0,17.0
16,12.906841329825863,17000.0,18.0
17,12.903091263161425,18000.0,19.0
18,5.380258888411934,19000.0,20.0
19,8.899961409336738,20000.0,21.0
20,2.21772425712755,21000.0,22.0
21,12.90310313950081,22000.0,23.0
22,0.8085043696747967,23000.0,24.0
23,10.265569917630613,24000.0,25.0
24,12.895442789032424,25000.0,26.0
25,12.893494276801704,26000.0,27.0
26,10.079705124155783,27000.0,28.0
27,7.276684428624323,28000.0,29.0
28,3.407891319383758,29000.0,30.0
29,12.890164720564904,30000.0,31.0
30,0.9990148041579303,31000.0,32.0
31,10.018472544303666,32000.0,33.0
32,5.747690290548089,33000.0,34.0
33,0.8431650850785992,34000.0,35.0
34,3.2340219570508424,35000.0,36.0
35,1.2096176084283812,36000.0,37.0
36,3.0807986749976024,37000.0,38.0
37,1.8685320302439123,38000.0,39.0
38,3.1313646294316264,39000.0,40.0
39,2.188359510171235,40000.0,41.0
40,2.433906871673255,41000.0,42.0
41,2.210367877664364,42000.0,43.0
42,2.549815813090511,43000.0,44.0
43,1.6708216922328525,44000.0,45.0
44,0.07541588882293127,45000.0,46.0
45,3.586828973767574,46000.0,47.0
46,1.2907590321207785,47000.0,48.0
47,2.6527467223884784,48000.0,49.0
48,0.37688073017880086,49000.0,50.0
